Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
06/12/2023,,05:27:15PM,05:56:17PM,pool,40,,goggles,,2.2.396

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
06/12/2023,05:27:15PM,1,1x120,120,40,FR,0:20.68,0:00.00,0:20.68,1,40,40,2,0:51.68,0:25.84,41,69,20,20,4
06/12/2023,05:27:34PM,1,1x120,120,40,FR,0:19.91,0:00.00,0:40.59,1,40,80,2.1,0:49.78,0:24.89,39,69,19,19,4
06/12/2023,05:27:55PM,1,1x120,120,40,FR,0:30.23,0:00.00,1:10.82,1,40,120,1.49,1:15.59,0:37.79,56,56,26,26,7
06/12/2023,05:28:26PM,1,1x120,120,0,REST,0:00.00,0:20.06,1:30.87,1,0,120,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:28:46PM,2,2x40,40,40,FR,0:27.55,0:00.00,1:58.43,1,40,160,1.49,1:08.87,0:34.44,54,57,26,26,7
06/12/2023,05:29:13PM,2,2x40,40,0,REST,0:00.00,0:05.19,2:03.62,1,0,160,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:29:18PM,2,2x40,40,40,FR,0:26.71,0:00.00,2:30.33,1,40,200,1.63,1:06.76,0:33.38,50,55,23,23,7
06/12/2023,05:29:45PM,2,2x40,40,0,REST,0:00.00,0:22.21,2:52.55,1,0,200,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:30:07PM,3,1x80,80,40,REST,0:00.00,0:30.59,3:23.13,1,40,240,0,1:16.45,0:38.23,31,0,0,0,6
06/12/2023,05:30:38PM,3,1x80,80,40,REST,0:00.00,0:44.87,4:08.01,1,40,280,0,1:52.23,0:56.12,45,0,0,0,8
06/12/2023,05:31:23PM,3,1x80,80,0,REST,0:00.00,0:25.14,4:33.15,1,0,280,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:31:48PM,4,1x40,40,40,REST,0:00.00,0:31.75,5:04.90,1,40,320,0,1:19.37,0:39.68,32,0,0,0,6
06/12/2023,05:32:20PM,4,1x40,40,0,REST,0:00.00,0:45.21,5:50.11,1,0,320,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:33:05PM,5,2x40,40,40,FR,0:21.46,0:00.00,6:11.56,1,40,360,1.68,0:53.65,0:26.82,44,64,23,23,6
06/12/2023,05:33:26PM,5,2x40,40,0,REST,0:00.00,0:04.04,6:15.60,1,0,360,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:33:30PM,5,2x40,40,40,FR,0:23.64,0:00.00,6:39.24,1,40,400,1.67,0:59.10,0:29.55,45,61,21,21,6
06/12/2023,05:33:54PM,5,2x40,40,0,REST,0:00.00,0:05.94,6:45.18,1,0,400,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:34:00PM,6,3x80,80,40,FR,0:33.63,0:00.00,7:18.80,1,40,440,1.07,1:24.03,0:42.02,70,65,36,36,8
06/12/2023,05:34:34PM,6,3x80,80,40,FR,0:26.63,0:00.00,7:45.43,1,40,480,1.55,1:06.58,0:33.29,52,64,25,25,7
06/12/2023,05:35:00PM,6,3x80,80,0,REST,0:00.00,0:35.76,8:21.19,1,0,480,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:35:36PM,6,3x80,80,40,FR,0:21.26,0:00.00,8:42.45,1,40,520,1.94,0:53.13,0:26.57,41,66,20,20,6
06/12/2023,05:35:57PM,6,3x80,80,40,FR,0:25.34,0:00.00,9:07.79,1,40,560,1.61,1:03.37,0:31.69,49,65,24,24,6
06/12/2023,05:36:23PM,6,3x80,80,0,REST,0:00.00,0:07.97,9:15.76,1,0,560,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:36:54PM,6,3x80,80,0,REST,0:00.00,0:22.16,9:37.92,1,0,560,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:37:17PM,6,3x80,80,40,FR,0:19.44,0:00.00,9:57.36,1,40,600,1.73,0:48.61,0:24.31,40,72,21,21,5
06/12/2023,05:37:36PM,6,3x80,80,40,FR,0:25.29,0:00.00,10:22.65,1,40,640,1.53,1:03.21,0:31.61,50,67,25,25,6
06/12/2023,05:38:01PM,6,3x80,80,0,REST,0:00.00,0:10.80,10:33.45,1,0,640,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:38:28PM,6,3x80,80,0,REST,0:00.00,0:14.19,10:47.64,1,0,640,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:38:42PM,7,23x40,40,40,FR,0:19.08,0:00.00,11:06.72,1,40,680,1.66,0:47.71,0:23.86,40,78,21,21,5
06/12/2023,05:39:01PM,7,23x40,40,0,REST,0:00.00,0:25.41,11:32.13,1,0,680,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:39:27PM,7,23x40,40,40,FR,0:19.36,0:00.00,11:51.50,1,40,720,1.63,0:48.40,0:24.20,41,76,22,22,5
06/12/2023,05:39:46PM,7,23x40,40,0,REST,0:00.00,0:25.58,12:17.08,1,0,720,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:40:14PM,7,23x40,40,0,REST,0:00.00,0:02.48,12:19.56,1,0,720,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:40:16PM,7,23x40,40,40,FR,0:18.98,0:00.00,12:38.54,1,40,760,1.72,0:47.46,0:23.73,40,76,21,21,5
06/12/2023,05:40:35PM,7,23x40,40,0,REST,0:00.00,1:01.01,13:39.55,1,0,760,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:41:36PM,7,23x40,40,40,FR,0:20.98,0:00.00,14:00.54,1,40,800,1.67,0:52.47,0:26.23,44,69,23,23,6
06/12/2023,05:41:57PM,7,23x40,40,0,REST,0:00.00,0:31.61,14:32.15,1,0,800,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:42:29PM,7,23x40,40,40,FR,0:18.91,0:00.00,14:51.06,1,40,840,2.54,0:47.28,0:23.64,33,50,14,14,5
06/12/2023,05:42:48PM,7,23x40,40,0,REST,0:00.00,0:29.99,15:21.05,1,0,840,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:43:18PM,7,23x40,40,40,FR,0:19.06,0:00.00,15:40.12,1,40,880,1.72,0:47.64,0:23.82,41,72,22,22,5
06/12/2023,05:43:37PM,7,23x40,40,0,REST,0:00.00,0:30.40,16:10.52,1,0,880,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:44:15PM,7,23x40,40,0,REST,0:00.00,0:03.11,16:13.63,1,0,880,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:44:18PM,7,23x40,40,40,FR,0:19.09,0:00.00,16:32.71,1,40,920,1.68,0:47.71,0:23.86,42,72,23,23,5
06/12/2023,05:44:37PM,7,23x40,40,0,REST,0:00.00,0:30.50,17:03.21,1,0,920,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:45:07PM,7,23x40,40,40,FR,0:19.43,0:00.00,17:22.64,1,40,960,1.79,0:48.57,0:24.28,38,72,19,19,5
06/12/2023,05:45:27PM,7,23x40,40,0,REST,0:00.00,0:29.47,17:52.11,1,0,960,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:45:56PM,7,23x40,40,40,FR,0:20.15,0:00.00,18:12.26,1,40,1000,1.61,0:50.38,0:25.19,44,71,24,24,5
06/12/2023,05:46:16PM,7,23x40,40,0,REST,0:00.00,0:30.36,18:42.62,1,0,1000,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:46:47PM,7,23x40,40,40,FR,0:20.58,0:00.00,19:03.20,1,40,1040,1.7,0:51.47,0:25.73,41,69,20,20,5
06/12/2023,05:47:07PM,7,23x40,40,0,REST,0:00.00,0:05.11,19:08.31,1,0,1040,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:48:33PM,7,23x40,40,0,REST,0:00.00,0:00.58,19:08.89,1,0,1040,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:48:34PM,7,23x40,40,40,FR,0:18.20,0:00.00,19:27.10,1,40,1080,2.23,0:45.52,0:22.76,33,62,15,15,5
06/12/2023,05:48:52PM,7,23x40,40,0,REST,0:00.00,0:30.13,19:57.23,1,0,1080,0,0:00.00,0:00.00,0,0,0,0,1
