Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
06/25/2023,,02:24:53PM,03:26:40PM,pool,18.29,,goggles,,2.2.396

Swim Date,Swim Time,Set #,Set,Interval (yd),Length (yd),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (yd),Cumul Dist (yd),Avg DPS,Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
06/25/2023,02:24:53PM,1,1x80,80,20,FR,0:19.22,0:00.00,0:19.22,1,20,20,1.17,1:36.15,0:48.08,34,55,15,15,4
06/25/2023,02:25:12PM,1,1x80,80,20,FR,0:23.51,0:00.00,0:42.74,1,20,40,0.96,1:57.53,0:58.77,42,54,18,18,4
06/25/2023,02:25:36PM,1,1x80,80,20,FR,0:23.79,0:00.00,1:06.52,1,20,60,0.9,1:58.91,0:59.45,44,56,20,20,4
06/25/2023,02:26:00PM,1,1x80,80,20,FR,0:24.78,0:00.00,1:31.30,1,20,80,0.97,2:03.90,1:01.95,43,55,18,18,4
06/25/2023,02:26:25PM,1,1x80,80,0,REST,0:00.00,0:03.05,1:34.35,1,0,80,0,0:00.00,0:00.00,0,0,0,0,0
06/25/2023,02:26:28PM,2,1x20,20,20,FR,0:20.91,0:00.00,1:55.25,1,20,100,0.94,1:44.50,0:52.25,38,55,17,17,4
06/25/2023,02:26:49PM,2,1x20,20,0,REST,0:00.00,0:03.16,1:58.41,1,0,100,0,0:00.00,0:00.00,0,0,0,0,0
06/25/2023,02:26:52PM,3,1x100,100,20,FR,0:21.50,0:00.00,2:19.91,1,20,120,0.91,1:47.58,0:53.79,40,56,18,18,4
06/25/2023,02:27:13PM,3,1x100,100,20,FR,0:23.88,0:00.00,2:43.79,1,20,140,0.97,1:59.37,0:59.69,43,55,19,19,4
06/25/2023,02:27:37PM,3,1x100,100,20,FR,0:26.11,0:00.00,3:09.91,1,20,160,0.87,2:10.63,1:05.32,47,56,21,21,4
06/25/2023,02:28:03PM,3,1x100,100,20,FR,0:24.26,0:00.00,3:34.17,1,20,180,0.98,2:01.27,1:00.64,43,56,19,19,4
06/25/2023,02:28:27PM,3,1x100,100,20,FR,0:23.90,0:00.00,3:58.07,1,20,200,0.98,1:59.53,0:59.77,43,58,19,19,4
06/25/2023,02:28:51PM,3,1x100,100,0,REST,0:00.00,0:04.19,4:02.26,1,0,200,0,0:00.00,0:00.00,0,0,0,0,0
06/25/2023,02:28:56PM,4,1x160,160,20,FR,0:21.66,0:00.00,4:23.92,1,20,220,0.86,1:48.34,0:54.17,38,53,16,16,4
06/25/2023,02:29:17PM,4,1x160,160,20,FR,0:26.57,0:00.00,4:50.49,1,20,240,0.81,2:12.91,1:06.45,50,55,23,23,4
