Activity Name,Date,Duration,Avg Power,Normalized Power,Max Power,Max HR,Avg Cadence,Max Cadence,Avg Speed,Max Speed,Distance,IF,TSS,CSV File,CSV File version,FIT File,Platform,App Version,Notes,Sport,PowerProfile:FTP,PowerProfile:NM,PowerProfile:AC,PowerProfile:MAP,User Weight (kg),Playback Type,TimeZone,Upload Time,Power Device,HR Device,Cadence Device,Speed Device,Speed Source,Deleted
Endurance 3,07/01/2023 13:43:04,02:43:15,125,126,368,146,82,108,16.4,19.2,44.647,0.65,114,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=p0NAgHCb8X,"""iPhone""",7.64.0,,Cycling,195,882,310,275,72,novid,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,TICKR 421F,Wahoo CADENCE 4D09,Virtual Speed,,false
Endurance 2,04/09/2023 00:23:37,02:00:00,110,112,261,157,86,100,15.5,17,31.066,0.63,80,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=EfJbMw9GWV,"""iPhone""",7.58.0,,Cycling,177,820,297,239,72.1211868316,novid,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,TICKR 421F,Wahoo CADENCE 4D09,Virtual Speed,,false
Blender,02/19/2023 18:50:45,01:41:49,140,162,309,0,,0,16.8,22.1,28.433,0.96,156,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=ekfH4CpSVH,"""iPhone""",7.57.0,,Cycling,169,641,294,240,74.8428300569,streaming,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,,,Virtual Speed,,false
Sub-Threshold: 3 x 20,07/08/2023 14:47:51,01:03:41,140,145,282,0,82,103,17.1,19.3,18.135,0.74,59,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=25Fmvj4LKi,"""iPhone""",7.64.0,,Cycling,195,882,310,275,72,novid,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,,Wahoo CADENCE 4D09,Wahoo SPEED 78CC,,false
Big Gear Tempo/Sub-Threshold: 4 x 8,06/10/2023 16:21:14,01:03:00,137,150,265,168,62,93,16.8,19.4,17.666,0.77,62,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=R9BcG2E4Uo,"""iPhone""",7.61.0,,Cycling,195,882,310,275,72,novid,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,TICKR 421F,Wahoo CADENCE 4D09,Virtual Speed,,false
Endurance 1,05/30/2023 23:51:21,01:00:00,110,113,201,152,87,100,15.6,16.9,15.617,0.64,41,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=PQP3lCqDcd,"""iPhone""",7.61.0,,Cycling,177,820,297,239,72.1211868316,novid,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,TICKR 421F,Wahoo CADENCE 4D09,Virtual Speed,,false
Full Frontal (4DP Test),04/04/2023 00:41:12,00:59:25,129,173,864,196,,0,15.9,27.5,15.2,1.02,103,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=yYX8RJV8Xy,"""iPhone""",7.57.0,,Cycling,169,642,259,235,73.4820513286,streaming,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,TICKR 421F,,Virtual Speed,,false
Alla Vita,06/10/2023 15:11:51,00:59:15,125,127,264,151,68,87,16.3,17.9,16.091,0.65,42,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=GDACz8gccZ,"""iPhone""",7.61.0,,Cycling,195,882,310,275,72,streaming,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,TICKR 421F,Wahoo CADENCE 4D09,Virtual Speed,,false
Full Frontal (4DP Test),02/22/2023 00:36:03,00:58:56,123,156,643,0,,0,16.5,31.6,14.834,0.93,84,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=u9y5UOdL4R,"""iPhone""",7.57.0,,Cycling,169,641,294,240,74,streaming,America/New_York,04/09/2024 20:09:55,Mag,,,KICKR SNAP A9D8,,false
Full Frontal (4DP Test),12/24/2022 22:04:31,00:58:56,134,168,683,0,,0,16.3,25.3,15.574,1.12,123,,1.6.0,https://app.thesufferfest.com/activity-shares/create-fit?activityId=ahdGTGfb2p,"""iPhone""",7.56.0,,Cycling,150,442,242,188,74.8428300569,streaming,America/New_York,04/09/2024 20:09:55,KICKR SNAP A9D8,,,Virtual Speed,,false
